日期,000300.SH,H11001,H11025,AUCI.SHF
2009/8/7,3555.095,127.09,1099.9541,1065.0513
2009/8/10,3544.539,127.16,1100.0383,1061.1564
2009/8/11,3556.375,127.14,1100.0803,1053.9228
2009/8/12,3397.4,127.19,1100.1117,1047.8527
2009/8/13,3440.82,127.34,1100.1608,1060.1447
2009/8/14,3344.462,127.41,1100.1898,1061.7634
2009/8/17,3140.271,127.28,1100.3044,1048.0045
2009/8/18,3171.986,127.28,1100.3309,1044.5647
2009/8/19,3014.568,127.33,1100.363,1039.7086
2009/8/20,3144.39,127.3,1100.407,1049.6737
2009/8/21,3203.624,127.3,1100.4554,1044.6659
2009/8/24,3229.6,127.3,1100.5416,1061.1058
2009/8/25,3109.83,127.32,1100.5915,1050.3819
2009/8/26,3172.386,127.39,1100.649,1053.4676
2009/8/27,3156.301,127.42,1100.6822,1052.1524
2009/8/28,3046.781,127.48,1100.7278,1056.1991
2009/8/31,2830.271,127.44,1100.8271,1058.6777
2009/9/1,2843.7,127.36,1100.8624,1060.8529
2009/9/2,2890.926,127.46,1100.9095,1062.2692
2009/9/3,3051.964,127.47,1100.9531,1090.4446
2009/9/4,3077.142,127.52,1101.0064,1099.651
2009/9/7,3104.208,127.4,1101.0974,1107.2892
2009/9/8,3170.967,127.4,1101.1383,1127.017
2009/9/9,3194.909,127.54,1101.1928,1116.1414
2009/9/10,3162.914,127.63,1101.2635,1109.4036
2009/9/11,3238.133,127.61,1101.334,1113.6729
2009/9/14,3293.394,127.55,1101.426,1109.2519
2009/9/15,3302.642,127.56,1101.4746,1108.7157
2009/9/16,3258.236,127.6,1101.5107,1140.169
2009/9/17,3320.096,127.63,1101.5513,1142.9511
2009/9/18,3199.689,127.69,1101.5964,1127.5229
2009/9/21,3208.604,127.6,1101.7011,1116.3944
2009/9/22,3131.026,127.7,1101.8106,1127.7252
2009/9/23,3060.069,127.63,1101.8568,1129.0404
2009/9/24,3080.926,127.53,1101.9229,1130.2039
2009/9/25,3058.528,127.48,1101.9682,1105.8222
2009/9/28,2972.643,127.32,1102.0794,1095.756
2009/9/29,2972.286,127.3,1102.1223,1102.2308
2009/9/30,3004.805,127.25,1102.1573,1109.0596
2009/10/9,3163.708,127.48,1102.4576,1162.6789
2009/10/12,3151.632,127.46,1102.5642,1167.8891
2009/10/13,3198.517,127.24,1102.6135,1171.4806
2009/10/14,3227.399,127.24,1102.665,1182.9126
2009/10/15,3239.643,127.26,1102.7049,1172.7958
2009/10/16,3241.709,127.12,1102.7443,1165.3599
2009/10/19,3329.158,127.2,1102.841,1172.037
2009/10/20,3377.574,127.04,1102.8783,1186.6559
2009/10/21,3369.285,127.04,1102.9138,1174.6674
2009/10/22,3347.32,127.1,1102.955,1172.7958
2009/10/23,3413.252,127.09,1102.994,1179.6247
2009/10/26,3414.239,127.14,1103.0918,1173.4534
2009/10/27,3314.722,127.07,1103.1373,1160.2509
2009/10/28,3329.327,127.09,1103.1727,1158.3793
2009/10/29,3247.051,127.14,1103.2138,1150.7916
2009/10/30,3280.372,127,1103.2524,1166.8774
2009/11/2,3392.803,127.2,1103.3588,1167.0292
2009/11/3,3435.425,127.05,1103.3991,1182.9632
2009/11/4,3453.888,126.96,1103.4304,1204.2086
2009/11/5,3464.318,126.9,1103.4884,1204.5121
2009/11/6,3483.021,126.84,1103.5361,1210.2281
2009/11/9,3495.788,126.98,1103.6508,1224.9987
2009/11/10,3503.776,127.09,1103.7025,1218.271
2009/11/11,3495.674,127.03,1103.7657,1227.275
2009/11/12,3499.992,127.01,1103.8185,1242.1468
2009/11/13,3518.722,127.06,1103.8515,1228.742
2009/11/16,3625.798,127.18,1103.9533,1251.4037
2009/11/17,3628.354,127.13,1103.9939,1256.9174
2009/11/18,3630.229,127.33,1104.0309,1262.0264
2009/11/19,3642.437,127.37,1104.0643,1265.9214
2009/11/20,3631.013,127.44,1104.0969,1269.26
2009/11/23,3665.509,127.34,1104.2006,1292.0229
2009/11/24,3548.08,127.36,1104.2443,1290.1512
2009/11/25,3629.629,127.35,1104.3033,1311.8013
2009/11/26,3485.773,127.54,1104.3724,1324.9026
2009/11/27,3382.51,127.36,1104.4171,1300.1163
2009/11/30,3511.669,127.41,1104.5486,1306.237
2009/12/1,3560.831,127.5,1104.6036,1311.8013
2009/12/2,3597.329,127.66,1104.6753,1353.1286
2009/12/3,3590.876,127.65,1104.7306,1353.3816
2009/12/4,3643.491,127.66,1104.7879,1344.5293
2009/12/7,3668.832,127.6,1104.9076,1288.9372
2009/12/8,3624.019,127.58,1104.9725,1294.4509
2009/12/9,3554.478,127.67,1105.019,1258.789
2009/12/10,3577.237,127.79,1105.0723,1260.9136
2009/12/11,3575.02,127.64,1105.1356,1268.1471
2009/12/14,3612.753,127.68,1105.237,1263.0887
2009/12/15,3583.341,127.71,1105.2742,1256.0575
2009/12/16,3560.723,127.8,1105.3245,1276.6453
2009/12/17,3480.153,127.71,1105.3688,1263.2404
2009/12/18,3391.735,127.62,1105.4171,1241.3374
2009/12/21,3396.622,127.6,1105.5374,1248.4192
2009/12/22,3305.543,127.77,1105.577,1226.3139
2009/12/23,3336.48,127.78,1105.6375,1220.5979
2009/12/24,3438.817,127.79,1105.6866,1242.3997
2009/12/25,3424.783,127.87,1105.7297,1246.143
2009/12/28,3478.433,127.82,1105.8334,1254.3882
2009/12/29,3500.737,127.78,1105.8752,1246.3959
2009/12/30,3558.857,127.8,1105.9278,1231.17
2009/12/31,3575.684,127.79,1105.9698,1252.0107
2010/1/4,3535.229,127.84,1106.0864,1244.1702
2010/1/5,3564.038,127.95,1106.1245,1280.9449
2010/1/6,3541.727,127.82,1106.1572,1270.1705
2010/1/7,3471.456,127.61,1106.1945,1276.5441
2010/1/8,3480.13,127.66,1106.2375,1262.3805
2010/1/11,3482.052,127.7,1106.3348,1299.2564
2010/1/12,3534.916,127.88,1106.3769,1300.7739
2010/1/13,3421.144,127.72,1106.4147,1268.2483
2010/1/14,3469.051,127.76,1106.4498,1279.6297
2010/1/15,3482.738,127.82,1106.49,1275.7853
2010/1/18,3500.684,127.66,1106.5934,1273.762
2010/1/19,3507.482,127.73,1106.6273,1276.6958
2010/1/20,3394.434,127.87,1106.6709,1271.5868
2010/1/21,3408.574,127.99,1106.7053,1256.0069
2010/1/22,3366.197,128,1106.7653,1230.8159
2010/1/25,3328.014,128.15,1106.8736,1241.1351
2010/1/26,3242.797,128.32,1106.9241,1229.7031
2010/1/27,3198.566,128.22,1106.9875,1233.2946
2010/1/28,3206.57,128.29,1107.0501,1221.3061
2010/1/29,3204.155,128.4,1107.0906,1210.7846
2010/2/1,3152.707,128.54,1107.2094,1211.7962
2010/2/2,3146.189,128.69,1107.2609,1237.9989
2010/2/3,3230.715,128.76,1107.308,1250.6449
2010/2/4,3218.802,128.77,1107.3583,1239.8705
2010/2/5,3153.087,128.86,1107.4032,1192.6248
2010/2/8,3150.988,129.04,1107.513,1198.1385
2010/2/9,3169.19,129.2,1107.5528,1206.2826
2010/2/10,3214.13,129.18,1107.5973,1213.2632
2010/2/11,3220.398,129.22,1107.6387,1215.5395
2010/2/12,3251.278,129.15,1107.6773,1225.1505
2010/2/22,3233.345,129.3,1108.0444,1256.1586
2010/2/23,3198.634,129.3,1108.0997,1250.5438
2010/2/24,3244.483,129.32,1108.1369,1239.6176
2010/2/25,3292.128,129.37,1108.1892,1225.5552
2010/2/26,3281.666,129.59,1108.235,1246.3959
2010/3/1,3324.423,130.02,1108.3453,1253.4271
2010/3/2,3311.236,130.1,1108.3955,1251.3531
2010/3/3,3335.081,130.35,1108.4396,1274.2172
2010/3/4,3250.573,130.33,1108.4835,1269.9175
2010/3/5,3259.764,130.35,1108.5365,1271.081
2010/3/8,3286.178,130.4,1108.6496,1274.7736
2010/3/9,3305.863,130.4,1108.7046,1256.3104
2010/3/10,3279.694,130.41,1108.775,1261.7735
2010/3/11,3276.705,130.38,1108.85,1244.0184
2010/3/12,3233.126,130.24,1108.8914,1248.5204
2010/3/15,3183.183,130.33,1108.9978,1239.2635
2010/3/16,3203.971,130.45,1109.0472,1246.0924
2010/3/17,3273.916,130.5,1109.0932,1265.2638
2010/3/18,3267.555,130.5,1109.1444,1257.1703
2010/3/19,3293.871,130.66,1109.1953,1258.0808
2010/3/22,3302.628,130.61,1109.3079,1239.2635
2010/3/23,3275.573,130.65,1109.3748,1236.7849
2010/3/24,3276.669,130.61,1109.4314,1233.7498
2010/3/25,3229.128,130.64,1109.4876,1223.1271
2010/3/26,3275.002,130.61,1109.5615,1233.6486
2010/3/29,3358.54,130.71,1109.7436,1244.4231
2010/3/30,3366.708,130.47,1109.8448,1246.6994
2010/3/31,3345.607,130.46,1109.9163,1240.7304
2010/4/1,3391.935,130.49,1109.9839,1243.9172
2010/4/2,3407.346,130.53,1110.0266,1254.6411
2010/4/6,3405.145,130.53,1110.2131,1258.0302
2010/4/7,3386.949,130.41,1110.2688,1268.0459
2010/4/8,3346.744,130.59,1110.336,1273.7114
2010/4/9,3379.17,130.43,1110.3839,1283.3224
2010/4/12,3351.478,130.48,1110.5088,1293.0649
2010/4/13,3391.716,130.51,1110.5557,1283.8788
2010/4/14,3403.707,130.63,1110.6154,1286.1045
2010/4/15,3394.574,130.67,1110.6693,1284.8298
2010/4/16,3356.332,130.68,1110.716,1286.0033
2010/4/19,3176.423,130.81,1110.8308,1263.0887
2010/4/20,3173.374,130.85,1110.8796,1270.0187
2010/4/21,3236.679,130.96,1110.9394,1277.5558
2010/4/22,3201.541,130.98,1110.984,1277.2523
2010/4/23,3190.003,131,1111.0323,1270.9798
2010/4/26,3171.997,131.29,1111.1674,1291.9723
2010/4/27,3108.409,131.18,1111.2365,1286.8127
2010/4/28,3097.353,131.4,1111.2946,1299.0035
2010/4/29,3060.064,131.43,1111.3455,1300.4198
2010/4/30,3067.365,131.43,1111.3946,1308.0581
2010/5/4,3019.449,131.51,1111.5618,1308.1592
2010/5/5,3036.394,131.54,1111.635,1301.6845
2010/5/6,2896.856,131.5,1111.6829,1306.0853
2010/5/7,2836.789,131.79,1111.7419,1338.4592
2010/5/10,2858.233,131.91,1111.8874,1329.1011
2010/5/11,2800.817,131.86,1111.9399,1343.72
2010/5/12,2818.16,131.93,1112.0003,1366.6346
2010/5/13,2886.911,131.98,1112.0551,1371.5413
2010/5/14,2868.023,131.95,1112.1138,1372.4518
2010/5/17,2714.715,132.2,1112.2326,1375.3351
2010/5/18,2771.348,132.37,1112.2719,1353.7356
2010/5/19,2762.174,132.57,1112.3227,1347.0079
2010/5/20,2726.022,132.67,1112.3668,1321.6146
2010/5/21,2768.791,132.6,1112.4212,1313.7741
2010/5/24,2873.469,132.59,1112.5688,1326.5719
2010/5/25,2813.943,132.73,1112.6165,1326.1672
2010/5/26,2813.944,132.68,1112.6615,1344.5293
2010/5/27,2859.979,132.7,1112.8065,1349.0819
2010/5/28,2850.302,132.58,1112.8515,1354.0392
2010/5/31,2773.264,132.61,1112.9857,1348.2725
2010/6/1,2744.162,132.62,1113.0477,1358.6423
2010/6/2,2757.527,132.69,1113.0931,1359.2493
2010/6/3,2736.076,132.68,1113.1532,1361.6268
2010/6/4,2744.391,132.73,1113.2011,1339.5721
2010/6/7,2695.715,132.74,1113.3412,1354.4944
2010/6/8,2699.336,132.71,1113.3891,1380.4441
2010/6/9,2782.133,132.77,1113.4375,1372.6036
2010/6/10,2750.023,132.77,1113.485,1366.9887
2010/6/11,2758.866,133.03,1113.5294,1357.8836
2010/6/17,2742.733,133.21,1113.7947,1373.2106
2010/6/18,2696.166,133.25,1113.84,1385.6543
2010/6/21,2780.663,133.03,1113.983,1401.0825
2010/6/22,2783.72,132.89,1114.0457,1372.0471
2010/6/23,2758.495,132.77,1114.0924,1376.2962
2010/6/24,2757.498,132.94,1114.1459,1369.5685
2010/6/25,2736.287,132.88,1114.1925,1380.6971
2010/6/28,2716.777,132.95,1114.3508,1390.6116
2010/6/29,2592.019,133.06,1114.4087,1368.8098
2010/6/30,2563.07,133.18,1114.4662,1376.0939
2010/7/1,2526.071,133.15,1114.5211,1369.8214
2010/7/2,2534.105,133.3,1114.5719,1330.9727
2010/7/5,2512.651,133.29,1114.7333,1336.7393
2010/7/6,2562.902,133.4,1114.79,1330.4163
2010/7/7,2580.477,133.55,1114.8489,1312.1554
2010/7/8,2575.921,133.5,1114.9128,1331.1751
2010/7/9,2647.104,133.47,1114.9672,1322.0699
2010/7/12,2676.218,133.69,1115.1137,1331.8833
2010/7/13,2634.593,133.8,1115.1788,1321.2606
2010/7/14,2653.609,133.88,1115.2488,1338.4592
2010/7/15,2608.519,133.83,1115.3023,1334.1595
2010/7/16,2616.128,133.98,1115.3689,1330.4669
2010/7/19,2682.472,133.91,1115.5208,1316.708
2010/7/20,2741.503,133.94,1115.5973,1309.3733
2010/7/21,2747.335,133.96,1115.6543,1313.9764
2010/7/22,2781.286,133.9,1115.722,1308.7663
2010/7/23,2793.076,133.89,1115.7814,1322.5757
2010/7/26,2811.055,133.94,1115.9283,1320.8559
2010/7/27,2795.724,133.97,1115.9964,1312.4589
2010/7/28,2863.724,133.99,1116.0632,1290.8088
2010/7/29,2877.976,134.04,1116.1523,1295.8167
2010/7/30,2868.846,134.04,1116.2252,1294.6532
2010/8/2,2917.275,134.05,1116.3847,1311.3966
2010/8/3,2865.971,134.16,1116.4416,1309.8791
2010/8/4,2876.434,134.09,1116.4955,1323.1322
2010/8/5,2850.829,134.11,1116.5497,1322.2722
2010/8/6,2897.659,134.14,1116.6096,1329.8599
2010/8/9,2918.241,134.2,1116.7636,1338.611
2010/8/10,2832.638,134.21,1116.8288,1325.3073
2010/8/11,2850.211,134.2,1116.9036,1327.4824
2010/8/12,2816.386,134.29,1116.9656,1329.8599
2010/8/13,2855.547,134.37,1117.021,1349.2336
2010/8/16,2922.083,134.38,1117.1668,1353.0275
2010/8/17,2942.291,134.43,1117.2173,1354.6462
2010/8/18,2937.362,134.44,1117.2758,1353.3816
